month_end,sp500_members,members_with_data,coverage_pct
2016-09-30,506,125,24.7
2016-10-31,506,125,24.7
2016-11-30,506,125,24.7
2016-12-30,506,125,24.7
2017-01-31,506,126,24.9
2017-02-28,506,126,24.9
2017-03-31,506,129,25.5
2017-04-28,506,129,25.5
2017-05-31,506,129,25.5
2017-06-30,506,130,25.7
2017-07-31,506,131,25.9
2017-08-31,506,131,25.9
2017-09-29,506,132,26.1
2017-10-31,506,132,26.1
2017-11-30,506,132,26.1
2017-12-29,505,132,26.1
2018-01-31,506,132,26.1
2018-02-28,506,132,26.1
2018-03-29,506,132,26.1
2018-04-30,506,132,26.1
2018-05-31,506,132,26.1
2018-06-29,506,132,26.1
2018-07-31,506,133,26.3
2018-08-31,506,134,26.5
2018-09-28,505,134,26.5
2018-10-31,504,135,26.8
2018-11-30,503,135,26.8
2018-12-31,505,136,26.9
2019-01-31,505,136,26.9
2019-02-28,505,137,27.1
2019-03-29,505,137,27.1
2019-04-30,505,136,26.9
2019-05-31,505,136,26.9
2019-06-28,505,137,27.1
2019-07-31,505,138,27.3
2019-08-30,505,138,27.3
2019-09-30,505,139,27.5
2019-10-31,505,140,27.7
2019-11-29,505,141,27.9
2019-12-31,505,140,27.7
2020-01-31,505,140,27.7
2020-02-28,505,140,27.7
2020-03-31,505,140,27.7
2020-04-30,505,141,27.9
2020-05-29,505,142,28.1
2020-06-30,505,143,28.3
2020-07-31,505,143,28.3
2020-08-31,505,143,28.3
2020-09-30,505,143,28.3
2020-10-30,505,143,28.3
2020-11-30,505,143,28.3
2020-12-31,505,143,28.3
2021-01-29,505,143,28.3
2021-02-26,505,143,28.3
2021-03-31,505,144,28.5
2021-04-30,505,144,28.5
2021-05-28,505,144,28.5
2021-06-30,505,144,28.5
2021-07-30,505,144,28.5
2021-08-31,505,145,28.7
2021-09-30,505,146,28.9
2021-10-29,505,146,28.9
2021-11-30,505,146,28.9
2021-12-31,505,146,28.9
2022-01-31,505,146,28.9
2022-02-28,505,147,29.1
2022-03-31,505,147,29.1
2022-04-29,504,147,29.2
2022-05-31,504,148,29.4
2022-06-30,503,150,29.8
2022-07-29,503,150,29.8
2022-08-31,503,150,29.8
2022-09-30,503,151,30.0
2022-10-31,503,151,30.0
2022-11-30,503,152,30.2
2022-12-30,503,153,30.4
2023-01-31,503,153,30.4
2023-02-28,503,153,30.4
2023-03-31,503,154,30.6
2023-04-28,503,154,30.6
2023-05-31,503,155,30.8
2023-06-30,503,156,31.0
2023-07-31,503,156,31.0
2023-08-31,503,155,30.8
2023-09-29,503,157,31.2
2023-10-31,503,158,31.4
2023-11-30,503,158,31.4
2023-12-29,503,159,31.6
2024-01-31,503,159,31.6
2024-02-29,503,159,31.6
2024-03-28,503,160,31.8
2024-04-30,503,160,31.8
2024-05-31,503,160,31.8
2024-06-28,503,161,32.0
2024-07-31,503,161,32.0
2024-08-30,503,161,32.0
2024-09-30,504,162,32.1
2024-10-31,503,161,32.0
2024-11-29,503,161,32.0
2024-12-31,503,162,32.2
2025-01-31,503,162,32.2
2025-02-28,503,162,32.2
2025-03-31,503,160,31.8
2025-04-30,503,160,31.8
2025-05-30,503,161,32.0
2025-06-30,503,161,32.0
2025-07-31,503,163,32.4
2025-08-29,503,163,32.4
2025-09-30,503,165,32.8
2025-10-31,503,165,32.8
2025-11-28,503,165,32.8
2025-12-31,503,166,33.0
2026-01-30,503,166,33.0
2026-02-27,503,166,33.0
2026-03-31,503,166,33.0
2026-04-30,503,167,33.2
2026-05-29,503,168,33.4
2026-06-30,503,168,33.4
2026-07-31,503,168,33.4
2026-08-31,503,168,33.4
2026-09-22,503,168,33.4
